                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.57846,                0.37834,                0.85762,                0.97507,                0.95853,                0.98019,                0.87631,                0.49344,                0.27973,                0.80229,              0.0067132,              0.0067132,              0.0067132
                     85,                0.57789,                 0.3786,                0.85675,                0.97521,                0.96156,                0.98018,                0.87846,                0.49497,                0.28134,                0.80261,              0.0066736,              0.0066736,              0.0066736
                     86,                0.58082,                0.38028,                0.85798,                0.97555,                0.96161,                0.98068,                 0.8785,                0.49346,                0.28024,                0.80273,               0.006634,               0.006634,               0.006634
                     87,                0.57649,                0.37961,                0.85838,                 0.9746,                 0.9636,                0.97976,                0.87923,                0.49202,                0.27849,                0.80244,              0.0065944,              0.0065944,              0.0065944
                     88,                 0.5788,                0.37775,                 0.8585,                0.97569,                0.96227,                0.98059,                0.88059,                0.49216,                0.27725,                0.80239,              0.0065548,              0.0065548,              0.0065548
                     89,                0.57517,                 0.3768,                0.85657,                0.97527,                0.96337,                0.98202,                0.88149,                0.49177,                0.27507,                0.80244,              0.0065152,              0.0065152,              0.0065152
                     90,                0.57332,                0.37317,                0.85751,                0.97354,                0.96064,                 0.9797,                0.88147,                0.49154,                0.27387,                0.80236,              0.0064756,              0.0064756,              0.0064756
                     91,                0.57416,                0.37501,                 0.8553,                0.97273,                0.96093,                 0.9792,                0.88084,                0.49208,                0.27443,                0.80226,               0.006436,               0.006436,               0.006436
                     92,                0.57378,                0.37359,                0.85582,                0.97243,                0.96042,                0.97878,                0.87962,                0.49296,                0.27678,                0.80224,              0.0063964,              0.0063964,              0.0063964
                     93,                0.57472,                0.37828,                0.85769,                0.97097,                0.96187,                0.97954,                0.87961,                0.49341,                0.27686,                0.80241,              0.0063568,              0.0063568,              0.0063568
                     94,                0.57137,                0.37414,                0.85693,                0.96929,                0.96227,                0.97913,                0.87889,                0.49535,                0.27603,                0.80276,              0.0063172,              0.0063172,              0.0063172
                     95,                0.57132,                0.37258,                0.85608,                0.97264,                0.96146,                 0.9796,                0.87973,                 0.4972,                0.27597,                0.80316,              0.0062776,              0.0062776,              0.0062776
                     96,                0.57228,                0.37158,                0.85579,                0.97328,                0.96261,                0.98028,                0.87967,                0.49614,                0.27564,                0.80281,               0.006238,               0.006238,               0.006238
                     97,                0.57292,                0.37527,                0.85804,                0.97343,                0.96238,                0.98011,                 0.8803,                  0.496,                0.27578,                0.80277,              0.0061984,              0.0061984,              0.0061984
                     98,                 0.5668,                0.37102,                0.85669,                0.97345,                0.96242,                0.97858,                0.88123,                0.49481,                0.27545,                0.80282,              0.0061588,              0.0061588,              0.0061588
